frame_no,frame_type,temporal,layer,qid,qp,y_psnr,u_psnr,v_psnr,bits
0,I,0,0,0,30,61.2376,66.4653,99.99,4936
0,I,0,1,0,29,61.3481,66.4653,99.99,1008
0,I,0,2,0,26,61.4572,65.5177,99.99,488
4,P,0,0,0,30,50.974,62.8057,76.0685,1328
4,P,0,1,0,29,50.9399,62.8057,76.0685,480
4,P,0,2,0,26,51.3384,64.8591,76.0685,1040
2,P,1,0,0,33,61.3512,59.3462,99.99,392
2,P,1,1,0,32,61.3989,59.4039,99.99,248
2,P,1,2,0,29,65.2959,64.0657,99.99,408
1,P,2,0,0,34,62.4194,59.1429,99.99,352
1,P,2,1,0,33,62.2473,59.1429,99.99,224
1,P,2,2,0,30,65.8016,62.3177,99.99,376
3,P,2,0,0,34,61.1073,59.9035,99.99,344
3,P,2,1,0,33,60.9267,59.9035,99.99,224
3,P,2,2,0,30,64.3941,63.6891,99.99,264
8,P,0,0,0,30,50.4169,60.67,54.2573,6608
8,P,0,1,0,29,52.3378,60.8299,54.2573,1560
8,P,0,2,0,26,54.1729,62.2894,58.2505,1384
6,P,1,0,0,33,42.0544,58.9617,72.3022,960
6,P,1,1,0,32,42.029,58.9952,72.3022,416
6,P,1,2,0,29,49.3138,63.2681,72.3022,1272
5,P,2,0,0,34,45.91,58.6693,76.8726,328
5,P,2,1,0,33,45.884,58.6693,76.8726,216
5,P,2,2,0,30,45.9885,61.2285,76.8726,544
7,P,2,0,0,34,45.3321,59.358,67.3878,328
7,P,2,1,0,33,45.5243,59.421,67.3878,224
7,P,2,2,0,30,45.7578,61.6386,55.8502,280
12,P,0,0,0,30,52.5444,48.678,51.1519,7656
12,P,0,1,0,29,52.7952,48.6751,51.1519,1976
12,P,0,2,0,26,53.7611,53.643,57.1491,3248
10,P,1,0,0,33,39.2279,55.2346,52.9127,1320
10,P,1,1,0,32,39.2982,55.2854,52.9127,552
10,P,1,2,0,29,51.8072,58.4311,53.2022,1592
9,P,2,0,0,34,44.8221,55.6313,56.6077,488
9,P,2,1,0,33,45.1603,56.5329,56.6077,256
9,P,2,2,0,30,45.3636,58.1298,54.9295,408
11,P,2,0,0,34,42.1436,48.4704,51.6521,384
11,P,2,1,0,33,42.1636,48.4651,51.6521,392
11,P,2,2,0,30,45.4531,54.6423,52.2802,1216
16,P,0,0,0,30,50.2337,47.8733,49.8177,7752
16,P,0,1,0,29,50.4389,47.8956,49.8029,2760
16,P,0,2,0,26,51.2014,51.2826,53.3991,5224
14,P,1,0,0,33,39.3809,49.8165,48.1223,4056
14,P,1,1,0,32,43.3178,50.6142,49.7306,1504
14,P,1,2,0,29,49.0244,51.4957,51.1961,2176
13,P,2,0,0,34,41.4935,48.4226,50.4887,520
13,P,2,1,0,33,41.5065,48.4144,50.5155,344
13,P,2,2,0,30,47.0753,53.9481,50.9094,1616
15,P,2,0,0,34,40.8126,47.9513,49.2488,1152
15,P,2,1,0,33,40.8116,47.9849,49.7104,616
15,P,2,2,0,30,48.2615,50.3921,50.0164,1784
